user_id;name;email;username;date_of_birth;gender;subscription_plan;subscription_id;password
1;Ronald Murphy;williamholland@example.com;williamholland;1953-06-03;Male;Annual;2;$2b$12$2CxEWiusiVVR1fo5Ts0Cp.YlVsL8BGGheM1XualN8/fIdI5URxJ6W
2;Scott Allen;scott22@example.org;scott22;1978-07-08;Male;Monthly;3;$2b$12$OPZj49u0lhZut/Xg/gjCIeJ99v2Ads0/cldp0Ozys6rzjGaLSbSim
3;Jonathan Parrish;brooke16@example.org;brooke16;1994-12-06;Female;Monthly;3;$2b$12$fu1vuDRUCYAmlG9iMMne1ulsUFSQ7WDKYg0ziiOnWQ4GVs5btiQNO
4;Megan Williams;elizabeth31@example.net;elizabeth31;1964-12-22;Female;Monthly;3;$2b$12$vcz3/m5gj9apX.Falce3g.nv1PnFCbTABAnHoyo/9R8jy31NtrCz6
5;Kathryn Brown;pattersonalexandra@example.org;pattersonalexandra;1961-06-04;Male;Annual;2;$2b$12$IifiBcEZBwEqobWGBKHAgeyxjE3qP/UxLH.56TCG1mPf1HajeEnF6
6;Sandra Cox;gparks@example.org;gparks;1954-09-19;Female;Monthly;3;$2b$12$XNSd4GfZWnE6xs/4UPDKEuUhvEc0HffoM7KPy9Q1GDJ8jMm9r/UZi
7;Benjamin Marshall;michaellewis@example.net;michaellewis;2003-02-09;Male;Monthly;3;$2b$12$yYWnPx87356xf31yCXxxb.BX.cA/cNKeZ7O9cWZccYXmB0O3dNmh6
8;James Smith;adrienne49@example.org;adrienne49;1946-10-04;Male;Monthly;3;$2b$12$AnRUJVHDgtLh1Hgl8aO2weU6Rcpy8pufGuaHJki79QSgrY8NHnrWq
9;Bradley Green;brittany02@example.net;brittany02;1950-12-24;Female;Annual;2;$2b$12$MROsfX8iOZ1xUX2r2rAmaOByk3EGGJmwFSzbR/X91OxRh8rGFwmk6
10;Kayla Hernandez;jessica53@example.net;jessica53;1963-06-16;Male;Monthly;3;$2b$12$2Jl0YbnP22B7e/SmtM7Jwu0BMuNRCC8vVJW3nHscpobJXb1ZdQ4r6
11;Douglas Hampton;tonya16@example.com;tonya16;1997-11-28;Female;Monthly;3;$2b$12$3gCWpOLZ2GfP8KNmPa3/QOUraU9DGXQ4SPR3b/uwy59iYahlKMtBy
12;Andrew Gomez;brian80@example.org;brian80;1952-09-08;Female;Annual;2;$2b$12$Kw63N16WA/XGK/7TDHVAGelmCsAX/Mxek8GQVhHUpjfW/yHvyH/vK
13;Kevin Mayo;hochoa@example.net;hochoa;1981-11-18;Female;Monthly;3;$2b$12$14OYwIdTSfY1BD4zL1B5peWLz3DbZfTgC15LYUyFgQSSGhBnfsYQG
14;Gregory Thomas;egriffin@example.com;egriffin;1989-08-17;Female;Annual;2;$2b$12$j68zmMxiTTIIc55y8.eWqOdzJQuvWqO5ubebNtS2bDPm2HTpqjr7W
15;Melanie Burns;meyerstacy@example.net;meyerstacy;2003-04-07;Male;Annual;2;$2b$12$S9FaoKOairJBcN3y2.PO2.R6mH3Q1hdWIjaBhAPYc452Lhfsyi6OS
